Angle [rad],Vrms [V],Vavg [V],Vrms [%],Vmeas [V],,In [%],Time [us],Time [ticks],Vmeas [V]
0.000E+00,120.142,107.957,100.00%,119.83,,0%,8130,57305,0.00
3.068E-03,120.142,107.957,100.00%,119.83,,1%,8073,57362,0.12
6.136E-03,120.142,107.956,100.00%,119.83,,2%,7976,57459,0.36
9.204E-03,120.142,107.955,100.00%,119.83,,3%,7886,57549,0.67
1.227E-02,120.142,107.954,100.00%,119.83,,4%,7796,57639,1.05
1.534E-02,120.142,107.951,100.00%,119.83,,5%,7715,57720,1.46
1.841E-02,120.142,107.949,100.00%,119.82,,6%,7634,57801,1.88
2.148E-02,120.142,107.946,100.00%,119.82,,7%,7560,57875,2.34
2.454E-02,120.142,107.942,100.00%,119.82,,8%,7495,57940,2.79
2.761E-02,120.142,107.937,100.00%,119.81,,9%,7430,58005,3.28
3.068E-02,120.142,107.933,100.00%,119.81,,10%,7365,58070,3.80
3.375E-02,120.142,107.927,100.00%,119.80,,11%,7292,58143,4.36
3.682E-02,120.142,107.921,100.00%,119.79,,12%,7235,58200,4.88
3.988E-02,120.141,107.915,100.00%,119.79,,13%,7170,58265,5.50
4.295E-02,120.141,107.908,100.00%,119.78,,14%,7113,58322,6.08
4.602E-02,120.141,107.901,100.00%,119.77,,15%,7056,58379,6.68
4.909E-02,120.141,107.893,100.00%,119.76,,16%,6991,58444,7.30
5.216E-02,120.140,107.884,100.00%,119.75,,17%,6934,58501,7.96
5.523E-02,120.140,107.875,100.00%,119.74,,18%,6877,58558,8.63
5.829E-02,120.140,107.865,100.00%,119.73,,19%,6828,58607,9.23
6.136E-02,120.139,107.855,100.00%,119.72,,20%,6771,58664,9.95
6.443E-02,120.139,107.845,100.00%,119.71,,21%,6722,58713,10.59
6.750E-02,120.138,107.833,100.00%,119.69,,22%,6657,58778,11.36
7.057E-02,120.138,107.822,100.00%,119.68,,23%,6608,58827,12.04
7.363E-02,120.137,107.809,100.00%,119.67,,24%,6559,58876,12.73
7.670E-02,120.136,107.796,100.00%,119.65,,25%,6511,58924,13.44
7.977E-02,120.136,107.783,99.99%,119.64,,26%,6454,58981,14.29
8.284E-02,120.135,107.769,99.99%,119.62,,27%,6405,59030,15.03
8.591E-02,120.134,107.755,99.99%,119.61,,28%,6356,59079,15.79
8.897E-02,120.133,107.740,99.99%,119.59,,29%,6299,59136,16.57
9.204E-02,120.132,107.724,99.99%,119.57,,30%,6250,59185,17.36
9.511E-02,120.131,107.708,99.99%,119.56,,31%,6201,59234,18.17
9.818E-02,120.130,107.692,99.99%,119.54,,32%,6153,59282,18.99
1.012E-01,120.129,107.675,99.99%,119.52,,33%,6104,59331,19.83
1.043E-01,120.127,107.657,99.99%,119.50,,34%,6055,59380,20.68
1.074E-01,120.126,107.639,99.99%,119.48,,35%,5998,59437,21.55
1.105E-01,120.125,107.620,99.99%,119.46,,36%,5949,59486,22.43
1.135E-01,120.123,107.601,99.98%,119.44,,37%,5900,59535,23.32
1.166E-01,120.121,107.581,99.98%,119.42,,38%,5851,59584,24.22
1.197E-01,120.120,107.561,99.98%,119.39,,39%,5811,59624,24.99
1.227E-01,120.118,107.540,99.98%,119.37,,40%,5762,59673,25.91
1.258E-01,120.116,107.519,99.98%,119.35,,41%,5713,59722,26.85
1.289E-01,120.116,107.519,99.98%,119.35,,42%,5656,59779,27.81
1.319E-01,120.114,107.497,99.98%,119.32,,43%,5607,59828,28.77
1.350E-01,120.112,107.475,99.97%,119.30,,44%,5558,59877,29.74
1.381E-01,120.110,107.452,99.97%,119.27,,45%,5510,59925,30.73
1.411E-01,120.107,107.428,99.97%,119.25,,46%,5461,59974,31.72
1.442E-01,120.105,107.404,99.97%,119.22,,47%,5420,60015,32.56
1.473E-01,120.103,107.380,99.97%,119.19,,48%,5371,60064,33.57
1.503E-01,120.100,107.355,99.96%,119.16,,49%,5314,60121,34.60
1.534E-01,120.097,107.329,99.96%,119.14,,50%,5265,60170,35.63
1.565E-01,120.094,107.303,99.96%,119.11,,51%,5217,60218,36.67
1.595E-01,120.091,107.277,99.96%,119.08,,52%,5168,60267,37.72
1.626E-01,120.088,107.249,99.96%,119.05,,53%,5119,60316,38.77
1.657E-01,120.085,107.222,99.95%,119.02,,54%,5070,60365,39.84
1.687E-01,120.082,107.194,99.95%,118.98,,55%,5021,60414,40.91
1.718E-01,120.078,107.165,99.95%,118.95,,56%,4956,60479,42.17
1.749E-01,120.075,107.136,99.94%,118.92,,57%,4907,60528,43.25
1.779E-01,120.071,107.106,99.94%,118.89,,58%,4859,60576,44.34
1.810E-01,120.067,107.075,99.94%,118.85,,59%,4810,60625,45.44
1.841E-01,120.063,107.045,99.93%,118.82,,60%,4761,60674,46.54
1.872E-01,120.059,107.013,99.93%,118.78,,61%,4704,60731,47.83
1.902E-01,120.055,106.981,99.93%,118.75,,62%,4647,60788,48.94
1.933E-01,120.051,106.949,99.92%,118.71,,63%,4590,60845,50.24
1.964E-01,120.046,106.916,99.92%,118.68,,64%,4541,60894,51.36
1.994E-01,120.041,106.883,99.92%,118.64,,65%,4484,60951,52.67
2.025E-01,120.037,106.849,99.91%,118.60,,66%,4435,61000,53.80
2.056E-01,120.032,106.814,99.91%,118.56,,67%,4378,61057,55.11
2.086E-01,120.027,106.779,99.90%,118.52,,68%,4313,61122,56.43
2.117E-01,120.021,106.743,99.90%,118.49,,69%,4256,61179,57.75
2.148E-01,120.016,106.707,99.89%,118.45,,70%,4199,61236,59.07
2.178E-01,120.010,106.671,99.89%,118.40,,71%,4142,61293,60.39
2.209E-01,120.005,106.634,99.89%,118.36,,72%,4085,61350,61.71
2.240E-01,119.999,106.596,99.88%,118.32,,73%,4028,61407,63.03
2.270E-01,119.993,106.558,99.88%,118.28,,74%,3963,61472,64.35
2.301E-01,119.986,106.519,99.87%,118.24,,75%,3898,61537,65.86
