N,1024,,Offset,183,
Vref,5,,,,
,,,,,
POS in MEM,VADC,Res Ther,Index,,
0,"0,894","2145,5",18,,200
1,"0,898","2159,8",18,,200
2,"0,903","2174,1",17,,192
3,"0,908","2188,5",17,,192
4,"0,913","2202,9",17,,191
5,"0,918","2217,3",17,,191
6,"0,923","2231,8",17,,191
7,"0,928","2246,3",17,,191
8,"0,933","2260,8",17,,191
9,"0,938","2275,4",17,,191
10,"0,942","2290,0",17,,191
11,"0,947","2304,6",17,,190
12,"0,952","2319,3",17,,190
13,"0,957","2334,0",17,,190
14,"0,962","2348,8",17,,190
15,"0,967","2363,5",17,,190
16,"0,972","2378,4",17,,190
17,"0,977","2393,2",17,,190
18,"0,981","2408,1",17,,189
19,"0,986","2423,0",17,,189
20,"0,991","2438,0",17,,189
21,"0,996","2453,0",17,,189
22,"1,001","2468,0",17,,189
23,"1,006","2483,1",17,,189
24,"1,011","2498,2",17,,188
25,"1,016","2513,3",17,,188
26,"1,021","2528,5",17,,188
27,"1,025","2543,7",17,,188
28,"1,030","2559,0",17,,188
29,"1,035","2574,3",17,,188
30,"1,040","2589,6",17,,188
31,"1,045","2605,0",17,,187
32,"1,050","2620,4",17,,187
33,"1,055","2635,8",17,,187
34,"1,060","2651,3",17,,187
35,"1,064","2666,8",17,,187
36,"1,069","2682,4",17,,187
37,"1,074","2698,0",17,,186
38,"1,079","2713,6",17,,186
39,"1,084","2729,3",17,,186
40,"1,089","2745,0",17,,186
41,"1,094","2760,8",17,,186
42,"1,099","2776,6",17,,186
43,"1,104","2792,4",17,,185
44,"1,108","2808,3",17,,185
45,"1,113","2824,2",17,,185
46,"1,118","2840,2",17,,185
47,"1,123","2856,2",17,,185
48,"1,128","2872,2",17,,185
49,"1,133","2888,3",17,,184
50,"1,138","2904,4",17,,184
51,"1,143","2920,6",17,,184
52,"1,147","2936,8",17,,184
53,"1,152","2953,0",17,,184
54,"1,157","2969,3",17,,184
55,"1,162","2985,6",17,,183
56,"1,167","3002,0",17,,183
57,"1,172","3018,4",17,,183
58,"1,177","3034,8",17,,183
59,"1,182","3051,3",17,,183
60,"1,187","3067,8",17,,183
61,"1,191","3084,4",17,,182
62,"1,196","3101,0",17,,182
63,"1,201","3117,7",17,,182
64,"1,206","3134,4",17,,182
65,"1,211","3151,1",17,,182
66,"1,216","3167,9",17,,182
67,"1,221","3184,8",17,,181
68,"1,226","3201,6",17,,181
69,"1,230","3218,5",17,,181
70,"1,235","3235,5",17,,181
71,"1,240","3252,5",17,,181
72,"1,245","3269,6",17,,181
73,"1,250","3286,7",17,,180
74,"1,255","3303,8",17,,180
75,"1,260","3321,0",17,,180
76,"1,265","3338,2",16,,173
77,"1,270","3355,5",16,,173
78,"1,274","3372,8",16,,173
79,"1,279","3390,2",16,,173
80,"1,284","3407,6",16,,173
81,"1,289","3425,1",16,,173
82,"1,294","3442,6",16,,173
83,"1,299","3460,1",16,,172
84,"1,304","3477,7",16,,172
85,"1,309","3495,3",16,,172
86,"1,313","3513,0",16,,172
87,"1,318","3530,8",16,,172
88,"1,323","3548,6",16,,172
89,"1,328","3566,4",16,,172
90,"1,333","3584,3",16,,172
91,"1,338","3602,2",16,,171
92,"1,343","3620,2",16,,171
93,"1,348","3638,2",16,,171
94,"1,353","3656,3",16,,171
95,"1,357","3674,4",16,,171
96,"1,362","3692,5",16,,171
97,"1,367","3710,8",16,,171
98,"1,372","3729,0",16,,171
99,"1,377","3747,3",16,,170
100,"1,382","3765,7",16,,170
101,"1,387","3784,1",16,,170
102,"1,392","3802,6",16,,170
103,"1,396","3821,1",16,,170
104,"1,401","3839,6",16,,170
105,"1,406","3858,3",16,,170
106,"1,411","3876,9",16,,170
107,"1,416","3895,6",16,,169
108,"1,421","3914,4",16,,169
109,"1,426","3933,2",16,,169
110,"1,431","3952,1",16,,169
111,"1,436","3971,0",16,,169
112,"1,440","3990,0",16,,169
113,"1,445","4009,0",16,,169
114,"1,450","4028,1",16,,169
115,"1,455","4047,2",16,,168
116,"1,460","4066,4",16,,168
117,"1,465","4085,6",16,,168
118,"1,470","4104,9",16,,168
119,"1,475","4124,3",16,,168
120,"1,479","4143,7",16,,168
121,"1,484","4163,1",16,,168
122,"1,489","4182,6",16,,168
123,"1,494","4202,2",16,,167
124,"1,499","4221,8",16,,167
125,"1,504","4241,5",16,,167
126,"1,509","4261,2",16,,167
127,"1,514","4281,0",16,,167
128,"1,519","4300,8",16,,167
129,"1,523","4320,7",16,,167
130,"1,528","4340,6",16,,166
131,"1,533","4360,6",16,,166
132,"1,538","4380,7",16,,166
133,"1,543","4400,8",16,,166
134,"1,548","4421,0",16,,166
135,"1,553","4441,2",16,,166
136,"1,558","4461,5",16,,166
137,"1,563","4481,8",16,,165
138,"1,567","4502,2",16,,165
139,"1,572","4522,7",16,,165
140,"1,577","4543,2",16,,165
141,"1,582","4563,8",16,,165
142,"1,587","4584,4",16,,165
143,"1,592","4605,1",16,,165
144,"1,597","4625,9",16,,165
145,"1,602","4646,7",16,,164
146,"1,606","4667,5",16,,164
147,"1,611","4688,5",16,,164
148,"1,616","4709,5",16,,164
149,"1,621","4730,5",16,,164
150,"1,626","4751,6",16,,164
151,"1,631","4772,8",16,,164
152,"1,636","4794,0",16,,163
153,"1,641","4815,3",16,,163
154,"1,646","4836,7",16,,163
155,"1,650","4858,1",16,,163
156,"1,655","4879,6",16,,163
157,"1,660","4901,2",16,,163
158,"1,665","4922,8",16,,163
159,"1,670","4944,5",16,,162
160,"1,675","4966,2",16,,162
161,"1,680","4988,0",16,,162
162,"1,685","5009,9",16,,162
163,"1,689","5031,8",16,,162
164,"1,694","5053,8",16,,162
165,"1,699","5075,9",16,,161
166,"1,704","5098,0",16,,161
167,"1,709","5120,2",16,,161
168,"1,714","5142,4",16,,161
169,"1,719","5164,8",16,,161
170,"1,724","5187,2",16,,161
171,"1,729","5209,6",16,,161
172,"1,733","5232,1",16,,160
173,"1,738","5254,7",16,,160
174,"1,743","5277,4",16,,160
175,"1,748","5300,1",15,,157
176,"1,753","5322,9",15,,157
177,"1,758","5345,8",15,,157
178,"1,763","5368,7",15,,157
179,"1,768","5391,7",15,,157
180,"1,772","5414,8",15,,157
181,"1,777","5437,9",15,,157
182,"1,782","5461,2",15,,157
183,"1,787","5484,4",15,,156
184,"1,792","5507,8",15,,156
185,"1,797","5531,2",15,,156
186,"1,802","5554,7",15,,156
